Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
435,393.201AFRBFC,Vehicle,Frame - Cracked siderail bottom flange at least 1 inch long.,472,551,0.02%,515,0.1%
436,395.24C2II,Driver,Driver failed to manually add the trailer number,500,550,0.02%,8,0%
437,392.5A3IDUI,Driver,"Intoxicating - No driver shall be on duty or operate a commercial motor vehicle while the driver possesses an intoxicating beverage, regardless of its alcohol content.",543,550,0.02%,539,0.11%
438,393.110B2IIC,Vehicle,Cargo - Insufficient tiedowns (w/o headerboard/blocking) for article(s) of cargo longer than 5 feet and no more than 10 feet.,519,548,0.02%,547,0.11%
439,172.516C6HMPMC,HazMat,"HM (Placarding) - Failure to maintain placard(s) in a condition so that the format, legibility, color, and visibility of the placard will not be substantially reduced due to damage, deterioration, or obscurement by dirt or other matter.",519,547,0.02%,1,0%
440,396.5AHNL,Vehicle,HUBS - No Visible Or Measurable Lubricant Showing In The HUB.,420,540,0.02%,526,0.11%
441,393.93ASBA,Vehicle,Seatbelts - Drivers seatbelt or passenger seatbelt (if equipped) - missing or defective.,521,537,0.02%,1,0%
442,393.75A2TAOTLM,Vehicle,"Tires - All others, 75% of the tread width is loose/missing in excess of 12 inches of circumference.",507,537,0.02%,513,0.1%
443,393.45DCUV,Vehicle,Brake Connections with Constrictions Under Vehicle,516,534,0.02%,46,0.01%
444,391.11B5DNL,Driver,Driver does not have a valid operator's license for the CMV being operated.,534,534,0.02%,519,0.11%
445,395.8D3HOSF,Driver,HOS (Form) - Record of duty status form failed to include truck or tractor and trailer unit number for each 24 hour period. Date: ,464,534,0.02%,0,0%
446,376.11D1,Other,Lease or Rental Agreement not on board leased or rented CMV,528,534,0.02%,0,0%
447,393.86A1RIG,Vehicle,"Rear Impact Guards - Trailers and semitrailers manufactured on or after January 26, 1998 inadequate or missing.   ",530,530,0.02%,0,0%
448,392.2SLTRS,Driver,State/Local Laws - Truck routing restriction.,516,529,0.02%,0,0%
449,395.26B,Driver,Motor carrier failed to ensure that the ELD automatically recorded the required data elements.,426,526,0.02%,0,0%
450,393.207CSBML,Vehicle,Suspension - Broken main leaf spring.,487,525,0.02%,524,0.11%
451,177.817AHMSP,HazMat,HM (Shipping Papers) - Operate a motor vehicle without a required shipping paper. NOTE: An error in the shipping description or an incomlete shipping description that will not impede emergency response does not constitute an OOS condition. ,509,524,0.02%,504,0.1%
452,393.100B,Vehicle,Leaking/spilling/blowing/falling cargo,479,523,0.02%,492,0.1%
453,393.75A2TAOBB,Vehicle,"Tires - All others, bump or bulge related to tread or sidewall separation.",508,522,0.02%,473,0.1%
454,391.45BMCEM,Driver,Driver who has not been medically examined and certified as qualified to operate a commercial motor vehicle during the preceding 24 months,521,521,0.02%,3,0%
455,395.22H3,Driver,Driver failed to maintain instruction sheet for ELD malfunction reporting requirements,518,520,0.02%,3,0%
456,383.23A2LCDL,Driver,Endorsements - (CDL) - Operate a CMV without proper endorsements on operators license.,517,520,0.02%,515,0.1%
457,393.201DFR,Vehicle,Frame - Accessories improperly attached.,502,520,0.02%,4,0%
458,177.801HMHCNP,HazMat,HM (Highway Carriage) - Driver accepted/transported HM not prepared in accordance with this Subchapter. Explain:,383,520,0.02%,0,0%
459,393.60EWS,Vehicle,Windshield - Obstructed,519,519,0.02%,1,0%
460,393.75COOS,Vehicle,Tire-other tread depth less than 1/32 of inch measured in 2 adjacent major tread grooves 3 separate locations 8 inches apart,411,512,0.02%,388,0.08%
461,393.47ABCLMBDSA,Vehicle,Drum Brake - Cracked/loose/missing lining/pad on a steering axle.,450,511,0.02%,461,0.09%
462,393.110CC,Vehicle,"Cargo - Insufficient tiedowns (with headerboard/blocking); at least one tiedown for every 10 feet of article length, or fraction thereof.",486,506,0.02%,503,0.1%
463,392.2SLTFC,Driver,State/Local Laws - Speeding basic rule/speed too fast for conditions.,503,503,0.02%,0,0%
464,392.2DMOVE,Driver,Driver - Move over/slow law - Failure to yield right of way to authorized emergency vehicles.,500,502,0.02%,0,0%
465,392.2FC,Driver,Following too close,494,494,0.02%,0,0%
466,396.9C2OOSO,Vehicle,OOS Order (Repairs) - Operating a CMV after being declared out-of-service when not having completed all required repairs.,479,494,0.02%,5,0%
467,172.600C1HMER,HazMat,HM (Emergency Response) - No emergency response information immediately available.,491,493,0.02%,0,0%
468,390.21TC,Other,Improper size/location/color of required CMV marking(s).,465,492,0.02%,0,0%
469,392.2SLLFY,Driver,State/Local Laws - Failed to yield right of way.,488,488,0.02%,0,0%
470,395.8D9HOSF,Driver,HOS (Form) - Record of duty status form failed to include name of co-driver for each 24 hour period. Date: ,429,483,0.02%,0,0%
471,393.51CBNVLAWD,Vehicle,Air Brake - No visual low air warning device manufactured on or after 1975. ,481,481,0.02%,23,0%
472,393.70B1ICDFWFMILT20,Vehicle,Coupling - 20% or less of the fifth wheel fasteners on either side missing/ineffective.,443,481,0.02%,4,0%
473,393.134,Vehicle,No/improper securement of roll/hook container,472,481,0.02%,464,0.09%
474,391.11B1A,Driver,Age - Operate a CMV while not at least 21 years of age in interstate commerce.,476,477,0.02%,469,0.1%
475,393.24CL,Vehicle,Lighting - Headlamp(s) improperly mounted.,469,473,0.02%,0,0%
476,390.9SLL,Other,Violation Of State Motor Carrier Laws Or Regulations,452,473,0.02%,0,0%
477,395.3B2HOSPDIT,Driver,HOS (Property) - Driving after being on duty more than 70 hours in the previous 8 consecutive days at the time of inspection. Time:,363,471,0.02%,354,0.07%
478,392.15,Driver,Driver Prohibited from Performing Safety Sensitive Functions per 382.501(a) in the Drug and Alcohol Clearinghouse.,469,469,0.02%,464,0.09%
479,396.7AUOC,Vehicle,Unsafe Operations - Severe Post Crash Condition,387,458,0.02%,425,0.09%
480,392.9,Vehicle,Driver may not operate a CMV without proper load securement,450,455,0.02%,320,0.07%
481,393.82SM,Vehicle,Speedometer - Inoperative or defective.,454,454,0.02%,0,0%
482,392.9BANOREG2INTER,Other,Operating a commercial motor vehicle with no USDOT number when required and a history of operating a commercial motor vehicle with no USDOT number when required. ,447,448,0.02%,432,0.09%
483,393.45DBHTC,Vehicle,"Air Brake - Damaged by heat, broken, or crimped in such a manner as to restrict air flow.",426,447,0.02%,403,0.08%
484,393.201AFRWC,Vehicle,Frame - Cracked siderail web at least 1-1/2 inches directed toward the bottom flange.,320,442,0.02%,423,0.09%
485,393.75A1TFSMF,Vehicle,"Tires - Front, sidewall is cut/worn/damaged exposing ply cord.",425,441,0.02%,411,0.08%
486,393.87AFPLA,Vehicle,Flag - Required flag(s) - any missing flag on a projecting load when more than one is required.,435,439,0.02%,4,0%
487,393.47ABCFSAD,Vehicle,Air Disc Brake - Contaminated friction surface.,403,435,0.02%,30,0.01%
488,393.47D,Vehicle,All Brakes - Insufficient brake lining thickness,337,434,0.02%,117,0.02%
489,393.118DCDL,Vehicle,Dressed Lumber - Improper Securement of bundles transported using more than one tier.,421,432,0.02%,432,0.09%
490,392.60AD,Driver,Driver - Unauthorized passenger(s) on-board a CMV.,425,426,0.02%,0,0%
491,395.8D2HOSF,Driver,HOS (Form) - Record of duty status form failed to include total miles driven for each 24 hour period. Date: ,361,425,0.02%,0,0%
492,393.17A1LSLDMWR,Vehicle,Lighting - Stop lamps - Driveaway - missing when required. ,419,424,0.02%,408,0.08%
493,393.128,Vehicle,No/improper securement of vehicles,376,422,0.02%,388,0.08%
494,393.42ABM,Vehicle,Brake - Missing required brake other than a steering axle.,250,421,0.02%,11,0%
495,393.201AFRSC,Vehicle,Frame - Cracked siderail web around the radius into the bottom flange.,371,420,0.02%,414,0.08%
496,393.28WS,Vehicle,Wiring Systems - Copper wire exposed.,409,417,0.02%,0,0%
497,390.19TG,Other,Filing an MCS-150 with false or misleading information.,416,416,0.02%,0,0%
498,392.16BCPASS,Driver,Co-Driver - Failed to use seat belt while operating a property-carrying CMV.,408,411,0.01%,0,0%
499,391.41AFPC,Driver,Operating a property-carrying vehicle without possessing a valid medical certificate. Previously Cited on [DATE],406,406,0.01%,398,0.08%
500,393.106C1C,Vehicle,Cargo - Cargo not immobilized or secured against rolling.,394,405,0.01%,384,0.08%
501,393.65FF,Vehicle,Fuel - Improper fuel line protection.,402,404,0.01%,2,0%
502,393.47BBMBCBDSA,Vehicle,Drum Brake - Mismatched brake chamber sizes on a steering axle.,402,402,0.01%,402,0.08%
503,383.25A1,Driver,Learner's Permit (CLP) - Is not accompanied by the holder of a valid CDL. ,398,398,0.01%,395,0.08%
504,395.3A3PROPN,Driver,Driving beyond 11 hour driving limit in a 14 hour period. (Property carrying vehicle) - Nominal Violation,351,392,0.01%,39,0.01%
505,177.817E,HazMat,Shipping paper accessibility,391,392,0.01%,15,0%
506,177.823AHMPMCNP50%,HazMat,HM (Placarding) - 50% or more of the required placards for a hazard class are missing. CVSA Inspection Bulletin 2017-03 - Display of GHS Labels on Bulk Packages.,378,391,0.01%,389,0.08%
507,393.67C7,Vehicle,Fuel tank fill pipe cap missing,387,390,0.01%,36,0.01%
508,392.7A,Vehicle,Driver failing to conduct pre-trip inspection,389,389,0.01%,1,0%
509,392.2ML,Driver,Failure to Maintain Lane,388,388,0.01%,0,0%
510,393.106BC,Vehicle,Cargo - Not immobilized or secured.,373,379,0.01%,56,0.01%
511,393.45AAJS,Vehicle,Air Brake tubing improperly joined or spliced,358,378,0.01%,347,0.07%
512,390.3EDAC,Driver,Drugs/other substances - operating a cmv while prohibited in the drug and alcohol clearinghouse.,378,378,0.01%,370,0.08%
513,383.51ANSIN,Driver,Driving a CMV while CDL is suspended for a non-safety-related reason and in the state of driver's license issuance.,373,373,0.01%,147,0.03%
514,393.67,Vehicle,Fuel tank requirement violations,357,369,0.01%,88,0.02%
515,172.502A1HMPP,HazMat,"HM (Placarding) - Prohibited placarding. Except as provided in paragraph (b) of this section, no person may affix or display on a packaging, freight container, unit load device, motor vehicle or rail car.",362,369,0.01%,7,0%
516,393.13C1,Vehicle,No Side retroreflective sheeting or reflex reflective material as required for vehicles manufactured before December 1993,361,366,0.01%,0,0%
517,393.75A2TAOBB6,Vehicle,"Tires - Any tire with observable bumps, bulge or knots.",306,366,0.01%,45,0.01%
518,393.104F4C,Vehicle,Cargo - No edge protection for tiedowns,349,364,0.01%,3,0%
519,392.9A3,Vehicle,Drivers view and/or movement is obstructed,362,363,0.01%,0,0%
520,393.45ABHTBS,Vehicle,Air Brake - Hose/tubing with a bulge/swelling when air pressure is applied.,347,361,0.01%,345,0.07%
521,395.3A2PROPN,Driver,Driving beyond 14 hour duty period (Property carrying vehicle) - Nominal Violation,316,358,0.01%,30,0.01%
522,393.207FSASMD,Vehicle,Suspension - Air spring/bag is missing or is detached at the top or bottom. ,317,355,0.01%,239,0.05%
523,172.502A1,HazMat,Prohibited placarding,347,349,0.01%,111,0.02%
524,393.11A1LHWS,Vehicle,Lighting - Hazard warning signal(s) missing.,336,348,0.01%,0,0%
525,392.9BANOREG2INTRA,Other,Operating a commercial motor vehicle in intrastate commerce with no USDOT number when required and a history of operating a commercial motor vehicle with no USDOT,348,348,0.01%,338,0.07%
526,393.51CBAPG,Vehicle,Air Brake - Inoperative/defective primary or secondary pressure gauge.,341,345,0.01%,332,0.07%
527,393.75A1TBSP,Vehicle,Tires - Bias ply - Has damaged plies evident in the sidewall up to 2 square inches.,332,345,0.01%,283,0.06%
528,387.7AMC,Other,Carrier - Motor carrier permit/require a driver to operate a CMV without minimum levels of financial responsibility as required in 49 CFR 387.9.,342,342,0.01%,6,0%
529,177.817E2HMHC,HazMat,HM (Highway Carriage) - Failing to have HM shipping papers readily accessible. ,342,342,0.01%,1,0%
530,398.8D1MW,Vehicle,Migrant Workers - Failure to correct defect(s) on previous inspection report.,322,339,0.01%,0,0%
531,177.817A,HazMat,No or improper shipping papers (carrier),338,339,0.01%,283,0.06%
532,393.87A,Vehicle,Warning flag required on projecting load,336,339,0.01%,170,0.03%
533,393.201D,Vehicle,Frame accessories improperly attached,300,337,0.01%,0,0%
534,393.104F1C,Vehicle,Cargo - Knotted tiedown,294,335,0.01%,9,0%
535,395.15G02,Driver,Driver failed to have on-board a CMV a sufficient supply of blank records of duty status graph-grids.,335,335,0.01%,0,0%
536,393.60B,Vehicle,Windshield - Missing.,334,335,0.01%,0,0%
537,390.35,Other,Fraudulent record(s).,298,332,0.01%,17,0%
538,393.82,Vehicle,Speedometer inoperative / inadequate,329,329,0.01%,0,0%
539,172.516C6,HazMat,"Placard damaged, deteriorated, or obscured",304,328,0.01%,3,0%
540,177.823AHMPMCM,HazMat,"HM (Placarding) - A carrier may not move a transport vehicle containing a hazardous material unless the vehicle is marked and placarded in accordance with part 172 or as authorized in Ã‚Â§171.12a of this subchapter, or unless, in an emergency.",310,327,0.01%,8,0%
541,392.2MCSR,Driver,Medical (Certificate) - Operating a CMV while in violation of state medical certification regulations.,322,323,0.01%,10,0%
542,391.11AQMC,Driver,Qualifications - Having operated or authorized a person to operate a CMV without being qualified.,323,323,0.01%,3,0%
543,172.602AHMER,HazMat,HM (Emergency Response) - No emergency response information.,318,321,0.01%,0,0%
544,393.75A1TBTP,Vehicle,Tires - Bias ply - Has more than one ply exposed in the tread area exceeding 2 square inches.,293,321,0.01%,230,0.05%
545,399.211CBP,Vehicle,"Cab-Over-Engine truck or tractor only - Defective cab access steps, handholds or deck plates.",317,319,0.01%,0,0%
546,393.62BENM,Vehicle,Buses - Required emergency exit not properly marked.,298,316,0.01%,299,0.06%
547,392.3F,Driver,"Fatigue - Operating a commercial motor vehicle while impaired, through fatigue. ",314,314,0.01%,311,0.06%
548,393.88,Vehicle,Television/video display device - Improperly located.,311,311,0.01%,0,0%
549,393.11A1LRLMWR,Vehicle,Lighting - Tail lamp - Both lamps on rearmost vehicle missing when required to be on. ,307,308,0.01%,276,0.06%
550,391.15ANSIN,Driver,Driving a CMV while disqualified. Suspended for non-safety-related reason and in the state of driver's license issuance.,304,307,0.01%,274,0.06%
551,392.4APOS,Driver,Driver on duty and in possession of a narcotic drug / amphetamine,301,306,0.01%,299,0.06%
552,395.8F5HOSM,Driver,"HOS (Manner) - Driver's record of duty status failed to record truck or tractor and trailer unit number, or license number and state for each 24 hour period. Date",226,306,0.01%,0,0%
553,393.209ESTPSD,Vehicle,Steering - Power steering components loose/broken.,297,306,0.01%,9,0%
554,393.13C2CSLRR,Vehicle,"Conspicuity Systems - Trailers, lower rear retro reflective sheeting inadequate on vehicle manufactured before December 1, 1993.",303,305,0.01%,0,0%
555,393.45ABLHF,Vehicle,Hydraulic Any Observed Leaking Hydraulic Fluid,296,305,0.01%,285,0.06%
556,393.70B1I,Vehicle,Defective latching fasteners - Fasteners on either side of the vehicle are missing or ineffective,284,303,0.01%,181,0.04%
557,393.53CB,Vehicle,"Air Brake - No brake adjustment indicator manufactured on or after October 20, 1994.",284,302,0.01%,0,0%
558,392.2Y,Driver,Failure to yield right of way,299,302,0.01%,0,0%
559,395.32B,Driver,Driver failed to assume or decline unassigned driving time,242,299,0.01%,1,0%
560,392.80TEXTING,Driver,Driver - Prohibition against texting in a CMV.,298,298,0.01%,0,0%
561,393.207E,Vehicle,Torsion bar cracked and/or broken,254,297,0.01%,110,0.02%
562,395.8D10HOSF,Driver,HOS (Form) - Record of duty status form failed to include total hours for each 24 hour period. Date: ,261,296,0.01%,1,0%
563,393.47FB,Vehicle,Brake - Wedge type brake(s) out-of-adjustment ,236,294,0.01%,5,0%
564,383.71CLCDL,Driver,License (CDL) - Operate a CMV without transferring CDL to new state of domicile within 30 days.,293,294,0.01%,2,0%
565,172.328D,HazMat,"Fail to mark manual remote shutoff device with ""Emergency Shutoff""",291,291,0.01%,0,0%
566,393.13C2,Vehicle,No Lower Rear retroreflective sheeting or reflex reflective material as required for vehicles manufactured before December 1993,290,291,0.01%,0,0%
567,392.2PK,Driver,Unlawfully parking and/or leaving vehicle in the roadway,291,291,0.01%,0,0%
568,393.13C3,Vehicle,No Upper Rear retroreflective sheeting or reflex reflective material as required for vehicles manufactured before December 1993,290,290,0.01%,0,0%
569,393.70DCDTSDD,Vehicle,"Coupling - Trailer, safety devices wire/chain damaged. ",281,288,0.01%,269,0.05%
570,393.132CCHVE,Vehicle,Flattened/Crushed Vehicles - Improper securement of flattened or crushed vehicles. ,265,288,0.01%,288,0.06%
571,393.9BLLPL,Vehicle,Lighting - License plate lamp obscured.,286,288,0.01%,0,0%
572,393.41BNPBSPR,Vehicle,Brake - Inoperative or missing power unit spring brake. ,252,287,0.01%,11,0%
573,177.817AHMPSPMC,HazMat,HM (Shipping Papers) - Motor carrier permit/require a driver to operate a motor vehicle without a proper shipping paper.,247,287,0.01%,19,0%
574,393.48ABMBCAD,Vehicle,Air Disc Brake - Missing/broken component(s).,247,286,0.01%,9,0%
575,391.15ASIN,Driver,Driving a CMV while disqualified. Suspended for safety-related or unknown reason and in the state of drivers license issuance.,281,281,0.01%,278,0.06%
576,393.84FL,Vehicle,Floor - Inadequate floor condition.,273,279,0.01%,2,0%
577,395.3B2HOSPD,Driver,HOS (Property) - Driving after being on duty more than 70 hours in the previous 8 consecutive days. Date and Time:,209,279,0.01%,143,0.03%
578,396.3A1AR,Vehicle,Brake - Defective Air Reservoir,269,278,0.01%,205,0.04%
579,393.45DBHCR,Vehicle,Air Brake - Crimped or restricted,272,277,0.01%,8,0%
580,177.817E1HMHC,HazMat,HM (Highway Carriage) - Failing to clearly distinguish HM shipping papers from other papers of any kind.,273,277,0.01%,1,0%
581,396.3A1DLDSCBBP,Vehicle,Driveline/Driveshaft - More than 1/2 inch (12.7mm) vertical movement (with hand pressure only) of the shaft in the center bearing carrier. ,274,276,0.01%,251,0.05%
582,172.602CHMER,HazMat,HM (Emergency Response) - Improper maintenance/accessibility of emergency response information.,274,274,0.01%,0,0%
583,392.2T,Driver,Improper turns,271,272,0.01%,3,0%
584,393.203,Vehicle,Cab/body parts requirements violations,259,271,0.01%,6,0%
585,390.21C,Other,"Improper size, location, or color of CMV marking",269,270,0.01%,0,0%
586,393.9BLSLOWR,Vehicle,Lighting - Stop lamps - Both obscured when required to be on. ,270,270,0.01%,262,0.05%
587,172.602C1,HazMat,Maintenance/accessibility of Emergency Response information,270,270,0.01%,0,0%
588,395.8AHOSPVI,Driver,HOS (Passenger) - No record of duty status using the method prescribed.,265,269,0.01%,236,0.05%
589,393.65F,Vehicle,Improper fuel line protection,266,269,0.01%,2,0%
590,393.75A1TRPET,Vehicle,Tires - Has more two or more plies are exposed in the tread area exceeding 2 square inches.,250,266,0.01%,194,0.04%
591,393.112C,Vehicle,Cargo - Tiedown not adjustable.,255,265,0.01%,1,0%
592,392.2SLLT,Driver,State/Local Laws - Operating a CMV while texting,265,265,0.01%,0,0%
593,396.3A1DSUJ,Vehicle,"Universal Joint with Loose, Broken, or Missing Component, or Bearing Strap",254,264,0.01%,248,0.05%
594,395.3A3HOSPRNC,Driver,Driving beyond 11 hour driving limit in a 14-hour period at time of inspection.  (Property carrying vehicle) - Nominal Violation,250,263,0.01%,201,0.04%
595,180.415HMTMC,HazMat,HM (Testing) - Failing to properly mark cargo tank test dates as required.,234,262,0.01%,0,0%
596,393.70B1ICDSLIMT25,Vehicle,Coupling - Slider latching fasteners - More than 25% ineffective on either side.  ,258,260,0.01%,259,0.05%
597,393.9BLRLO,Vehicle,Lighting - Tail lamp - Any obstructed. ,256,260,0.01%,1,0%
598,393.47ABRC,Vehicle,Brake - Rotor (disc) with a crack in length of more than 75% of the friction surface or thru the rotor,229,259,0.01%,259,0.05%
599,395.34C,Driver,HOS (ELD) - Driver failing to follow the Motor Carrier''s and ELD provider''s recommendations in resolving the data inconsistency displayed on the ELD. ,255,259,0.01%,0,0%
600,387.7B3IIMC,Other,Carrier - Mexican domiciled motor carrier permit/require a driver to operate a CMV in the commercial zone without required insurance endorsement (MCS-90) in the v,258,258,0.01%,0,0%
601,393.71H10CDDSDM,Vehicle,"Coupling - Driveaway, safety devices missing.",258,258,0.01%,255,0.05%
602,393.65CFNS,Vehicle,Fuel - Tank not secured.,254,257,0.01%,242,0.05%
603,392.2SLLL,Other,State/Local Laws - Littering.,256,256,0.01%,20,0%
604,393.209DSTBSM,Vehicle,Steering - Ball and socket joint has movement under load of the stud nut.,248,256,0.01%,189,0.04%
605,393.9BLCL,Vehicle,Lighting - Clearance lamp(s) obscured.,249,253,0.01%,0,0%
606,393.47ABCFSADSA,Vehicle,Air Disc Brake - Contaminated friction surface on a steering axle.,245,252,0.01%,245,0.05%
607,395.8F4HOSM,Driver,HOS (Manner) - Driver's record of duty status failed to record total miles driven for each 24 hour period. Date: ,202,250,0.01%,0,0%
608,393.45B2BHHC,Vehicle,Hydraulic Hose Abraded (Chafed),229,249,0.01%,126,0.03%
609,393.102C2C,Vehicle,Cargo - Sided Vehicle - Insufficient load securement so that it cannot shift or tip to the extent that the vehicle''s stability or maneuverability is adversely affected,246,246,0.01%,67,0.01%
610,392.9AA2,Other,Operating Beyond The Scope Of The Required Authority (Passengers).,246,246,0.01%,211,0.04%
611,390.3E,Driver,Prohibited from performing safety sensitive functions per 382.501(a) in the Drug and Alcohol Clearinghouse.,246,246,0.01%,242,0.05%
612,393.86B1RIG,Vehicle,"Rear Impact Guards - All other CMV''s, manufactured after December 31, 1952 inadequate or missing.",246,246,0.01%,0,0%
613,172.328DHMM,HazMat,HM (Markings) - Failing to mark a manual remote shut-off device as required.,239,242,0.01%,0,0%
614,393.205AWRTC,Vehicle,Wheel/Rim - Two or more cracks anywhere. ,229,242,0.01%,238,0.05%
615,393.207CSLSB,Vehicle,Suspension - Leaf spring broken. ,226,241,0.01%,13,0%
616,395.8CHOSF,Driver,HOS (Form) - Record of duty status form failed to include city/state/village/location for every change of duty status in each 24 hour period. Date: ,206,240,0.01%,0,0%
617,396.3A1DLDSYEL,Vehicle,"Driveline/Driveshaft - Any yoke-mounting hardware loose (with hand presssure), broken or missing",231,239,0.01%,236,0.05%
618,395.34A1,Driver,Failing to note malfunction that requires use of paper log,239,239,0.01%,11,0%
619,393.47C,Vehicle,Mis-matched slack adjuster effective length,217,239,0.01%,20,0%
620,393.83CELGPB,Vehicle,Exhaust System - Gasoline-Powered Buses - Any gasoline-powered bus exhaust system that is leaking or discharging under the chassis more than 6 inches (15.24 cm) forward of the rear most part of the bus.,238,238,0.01%,236,0.05%
621,393.47ABCLMAD,Vehicle,Air Disc Brake - Cracked/loose/missing lining/pad. ,205,237,0.01%,17,0%
622,393.48ABLMCBAD,Vehicle,Air Disc Brake - Loose chamber/caliper mounting bolt(s).,200,237,0.01%,19,0%
623,393.106C2C,Vehicle,Cargo - Transverse tiedowns - cargo without direct contact to prevent shifting.,207,236,0.01%,233,0.05%
624,393.11RT,Vehicle,Retroreflective material not affixed as required for trailers manufactured after December 1993,232,234,0.01%,0,0%
625,393.50C,Vehicle,No means to ensure operable check valve,229,232,0.01%,0,0%
626,392.2RRTCD,Driver,Railroad Crossing - Failed to obey a traffic control device or the direction of an enforcement offical at a railroad-highway crossing,232,232,0.01%,0,0%
627,393.201C,Vehicle,Frame rail flange improperly bent/cut/notched other than by vehicle manufacturer,217,229,0.01%,3,0%
628,393.203B,Vehicle,Cab/body improperly secured to frame,212,227,0.01%,7,0%
629,393.67C11F,Vehicle,Fuel - No visible fill warning marking.,222,227,0.01%,0,0%
630,395.8H5HOSM,Driver,HOS (Manner) - Driver's record of duty status failed to appropriately indicate location and remarks for changes in duty status. Date: ,190,227,0.01%,1,0%
631,395.8F07,Driver,Driver failed to record driver signature/certification for each 24 hour period.,170,226,0.01%,0,0%
632,392.22B,Vehicle,Failure to place or improper placement of warning devices on the road surface,225,225,0.01%,0,0%
633,393.65CFIS,Vehicle,Fuel - Improper securement of fuel tank.,220,225,0.01%,11,0%
634,393.78WOOS,Vehicle,"Wipers - Inoperative/missing/damaged on drivers side, during inclement weather requiring use of the windshield wipers.",223,223,0.01%,99,0.02%
635,393.62BEI,Vehicle,"Buses - Required emergency exit inoperative (does not open, close and/or secure as designed).",214,222,0.01%,209,0.04%
636,393.47BBMBCBD,Vehicle,Drum Brake - Mismatched brake chamber sizes on the same axle other than a steering axle.,212,222,0.01%,3,0%
637,383.51ANSOUT,Driver,Driving a CMV while CDL is suspended for a non-safety-related reason and outside the state of driver's license issuance.,220,220,0.01%,73,0.01%
638,385.337B,Other,Operating in violation of FMCSA Operational Out of Service order for Failure to permit a Safety Audit,220,220,0.01%,213,0.04%
639,396.3A1CH,Vehicle,Brake - Hole in Spring Brake Housing,204,219,0.01%,204,0.04%
640,395.3A2HOSPRNC,Driver,Driving beyond 14 hour duty period at time of inspection.  (Property carrying vehicle) - Nominal Violation,215,219,0.01%,174,0.04%
641,392.5A2IP,Driver,"Intoxicating - No driver shall use alcohol, be under the influence of alcohol, or have any measured alcohol concentration or detected presence of alcohol, while on duty, or operating, or in physical control of a commercial motor vehicle.",207,218,0.01%,216,0.04%
642,393.70B,Vehicle,Defective/improper fifth wheel assemblies,193,217,0.01%,53,0.01%
643,393.83F,Vehicle,Exhaust - Temporarily repaired by wrap or patches.,215,216,0.01%,0,0%
644,393.9BLSML,Vehicle,Lighting - Side marker lamp(s) obscured.,204,215,0.01%,0,0%
645,393.11N,Vehicle,No retroreflective sheeting or reflex reflective materials as required for vehicles manufactured after December 1993,208,215,0.01%,1,0%
646,393.43DBSB,Vehicle,Brake - More than 25% of the spring brakes are inoperative.,206,213,0.01%,211,0.04%
647,393.110,Vehicle,Failing to meet minimum tiedown requirements,204,211,0.01%,192,0.04%
648,393.205AWRCC,Vehicle,Wheel/Rim - Circumferential crack.,180,211,0.01%,202,0.04%
649,396.3A1DLDSUJM,Vehicle,"Driveline/Driveshaft - Any independent vertical movement between opposing yoke ends greater than 1/8 inch, with hand pressure only. ",202,210,0.01%,202,0.04%
650,393.13C3CSURR,Vehicle,"Conspicuity Systems - Trailers, upper rear retro reflective sheeting inadequate on vehicle manufactured before December 1, 1993.",205,208,0.01%,0,0%
651,172.504A,HazMat,Vehicle not placarded as required,204,207,0.01%,81,0.02%
652,393.9BLSLO,Vehicle,Lighting - Stop lamps - Any obscured.,205,206,0.01%,7,0%
653,393.70B1ICDFWFMIMT20,Vehicle,Coupling - More than 20% of the fifth wheel fasteners on either side missing/ineffective.,199,204,0.01%,201,0.04%
654,395.8F11HOSM,Driver,HOS (Manner) - Driver's record of duty status failed to record total hours each duty status in each 24 hour period. Date: ,181,204,0.01%,0,0%
655,392.71A,Driver,Using or equipping a CMV with radar detector,204,204,0.01%,0,0%
656,392.9BANOREG2,Other,Operating a commercial motor vehicle with no USDOT number when required and a history of operating a commercial motor vehicle with no USDOT number when required.,202,203,0.01%,186,0.04%
657,396.3A1EPNCNB,Vehicle,Brakes - Electric brakes on trailer inoperative due to electrical cable unplugged ,196,202,0.01%,190,0.04%
658,393.71H10CDDSDNS,Vehicle,"Coupling - Driveaway, safety devices not attached/not able to be secured.",196,202,0.01%,198,0.04%
659,396.3A1STLN,Vehicle,Steering - Loose nuts on tie rods/pitman arm/drag link/steering arm/tie rod.,196,202,0.01%,187,0.04%
660,393.13C1CSSRR,Vehicle,"Conspicuity Systems - Trailers, side retro reflective sheeting inadequate on vehicle manufactured before December 1, 1993.",191,200,0.01%,0,0%
661,396.3A1T,Vehicle,Tires (general),186,200,0.01%,41,0.01%
662,393.47ABCFSHE,Vehicle,Hydraulic/Electric Brake - Contaminated friction surface.,167,199,0.01%,14,0%
663,392.2SLLIP,Driver,State/Local Laws - Improper passing.,198,199,0.01%,0,0%
664,393.47ABSF,Vehicle,Brake - Malfunction causing smoke or fire to emit from the wheel end.,173,197,0.01%,191,0.04%
665,393.62BEND,Vehicle,Buses - Required emergency exit not properly marked. (does convey message),187,197,0.01%,21,0%
